Subject,Day,Condition,Threshold,FA_Rate
SUBJ-ID-1043,1,Ibotenic Acid (IC),-6.99658,0.063107
SUBJ-ID-1043,2,Ibotenic Acid (IC),-8.91782,0.079861
SUBJ-ID-1043,3,Ibotenic Acid (IC),-6.91922,0.12019
SUBJ-ID-1043,4,Ibotenic Acid (IC),-7.46709,0.090909
SUBJ-ID-1043,5,Ibotenic Acid (IC),-6.07306,0.064777
SUBJ-ID-1043,6,Ibotenic Acid (IC),-8.79532,0.070671
SUBJ-ID-1043,7,Ibotenic Acid (IC),-8.93437,0.082707
SUBJ-ID-1043,8,Ibotenic Acid (IC),-10.7627,0.094059
SUBJ-ID-1043,9,Ibotenic Acid (IC),-8.13595,0.044118
SUBJ-ID-1043,10,Ibotenic Acid (IC),-10.8444,0.11377
SUBJ-ID-1047,1,Ibotenic Acid (IC),-10.548,0.02381
SUBJ-ID-1047,2,Ibotenic Acid (IC),-12.5387,0.031128
SUBJ-ID-1047,3,Ibotenic Acid (IC),-12.841,0.022013
SUBJ-ID-1047,4,Ibotenic Acid (IC),-13.485,0.054054
SUBJ-ID-1047,5,Ibotenic Acid (IC),-14.7089,0.058419
SUBJ-ID-1047,6,Ibotenic Acid (IC),-17.992,0.061224
SUBJ-ID-1047,7,Ibotenic Acid (IC),-15.3776,0.10357
SUBJ-ID-1047,8,Ibotenic Acid (IC),-17.432,0.048507
SUBJ-ID-1047,9,Ibotenic Acid (IC),-16.0199,0.10345
SUBJ-ID-1047,10,Ibotenic Acid (IC),-12.4517,0.092357
SUBJ-ID-1048,1,Ibotenic Acid (IC),-9.21906,0.095506
SUBJ-ID-1048,2,Ibotenic Acid (IC),-14.0764,0.093995
SUBJ-ID-1048,3,Ibotenic Acid (IC),-13.2883,0.11111
SUBJ-ID-1048,4,Ibotenic Acid (IC),-10.4988,0.067847
SUBJ-ID-1048,5,Ibotenic Acid (IC),-15.0632,0.065963
SUBJ-ID-1048,6,Ibotenic Acid (IC),-15.0989,0.021472
SUBJ-ID-1048,7,Ibotenic Acid (IC),-15.8253,0.099359
SUBJ-ID-1048,8,Ibotenic Acid (IC),-12.2216,0.081633
SUBJ-ID-1048,9,Ibotenic Acid (IC),-14.9529,0.083333
SUBJ-ID-1048,10,Ibotenic Acid (IC),-15.7299,0.058632
SUBJ-ID-1128,1,Ibotenic Acid (IC),-10.9561,0.058608
SUBJ-ID-1128,2,Ibotenic Acid (IC),-12.4445,0.051515
SUBJ-ID-1128,3,Ibotenic Acid (IC),-15.6437,0.046512
SUBJ-ID-1128,4,Ibotenic Acid (IC),-12.9727,0.035831
SUBJ-ID-1128,5,Ibotenic Acid (IC),-19.0168,0.064103
SUBJ-ID-1128,6,Ibotenic Acid (IC),-15.9026,0.061889
SUBJ-ID-1128,7,Ibotenic Acid (IC),-18.7115,0.039088
SUBJ-ID-1128,8,Ibotenic Acid (IC),-16.0565,0.035144
SUBJ-ID-1128,9,Ibotenic Acid (IC),-16.9461,0.046729
SUBJ-ID-1128,10,Ibotenic Acid (IC),-17.2546,0.042208
SUBJ-ID-961,1,Ibotenic Acid (IC),-11.3977,0.054152
SUBJ-ID-961,2,Ibotenic Acid (IC),-7.87849,0.092784
SUBJ-ID-961,3,Ibotenic Acid (IC),-6.76307,0.061688
SUBJ-ID-961,4,Ibotenic Acid (IC),-8.24383,0.046823
SUBJ-ID-961,5,Ibotenic Acid (IC),-8.54118,0.056075
SUBJ-ID-961,6,Ibotenic Acid (IC),-8.60232,0.095395
SUBJ-ID-961,7,Ibotenic Acid (IC),-12.1968,0.074534
SUBJ-ID-961,8,Ibotenic Acid (IC),-8.69161,0.080808
SUBJ-ID-961,9,Ibotenic Acid (IC),-11.2102,0.052147
SUBJ-ID-961,10,Ibotenic Acid (IC),-15.3841,0.082781
SUBJ-ID-962,1,Ibotenic Acid (IC),-6.13168,0.02952
SUBJ-ID-962,2,Ibotenic Acid (IC),-9.27076,0.055172
SUBJ-ID-962,3,Ibotenic Acid (IC),-9.43754,0.083333
SUBJ-ID-962,4,Ibotenic Acid (IC),-11.0498,0.051195
SUBJ-ID-962,5,Ibotenic Acid (IC),-11.1261,0.12333
SUBJ-ID-962,6,Ibotenic Acid (IC),-8.91193,0.099398
SUBJ-ID-962,7,Ibotenic Acid (IC),-11.5516,0.075221
SUBJ-ID-962,8,Ibotenic Acid (IC),-11.5744,0.093093
SUBJ-ID-962,9,Ibotenic Acid (IC),-13.7568,0.033846
SUBJ-ID-962,10,Ibotenic Acid (IC),-11.0693,0.065421
SUBJ-ID-1003,1,Saline (IC),-9.66964,0.11783
SUBJ-ID-1003,2,Saline (IC),-15.9622,0.088608
SUBJ-ID-1003,3,Saline (IC),-10.9496,0.10759
SUBJ-ID-1003,4,Saline (IC),-12.3954,0.087786
SUBJ-ID-1003,5,Saline (IC),-10.9298,0.091304
SUBJ-ID-1003,6,Saline (IC),-14.4555,0.079365
SUBJ-ID-1003,7,Saline (IC),-17.4085,0.05283
SUBJ-ID-1003,8,Saline (IC),-12.7097,0.097179
SUBJ-ID-1003,9,Saline (IC),-18.3906,0.068182
SUBJ-ID-1003,10,Saline (IC),-14.7275,0.10323
SUBJ-ID-1042,1,Saline (IC),-13.5812,0.067416
SUBJ-ID-1042,2,Saline (IC),-5.90724,0.044164
SUBJ-ID-1042,3,Saline (IC),-12.5641,0.068323
SUBJ-ID-1042,4,Saline (IC),-13.218,0.070866
SUBJ-ID-1042,5,Saline (IC),-14.8491,0.084615
SUBJ-ID-1042,6,Saline (IC),-16.9122,0.04
SUBJ-ID-1042,7,Saline (IC),-16.9738,0.085502
SUBJ-ID-1042,8,Saline (IC),-14.5516,0.084112
SUBJ-ID-1042,9,Saline (IC),-15.1712,0.08642
SUBJ-ID-1042,10,Saline (IC),-12.5004,0.10169
SUBJ-ID-1088,1,Saline (IC),-13.8295,0.031348
SUBJ-ID-1088,2,Saline (IC),-18.2067,0.051672
SUBJ-ID-1088,3,Saline (IC),-18.7849,0.028939
SUBJ-ID-1088,4,Saline (IC),-16.2243,0.057878
SUBJ-ID-1088,5,Saline (IC),-15.9915,0.061728
SUBJ-ID-1088,6,Saline (IC),-18.3647,0.046154
SUBJ-ID-1088,7,Saline (IC),-18.1843,0.020478
SUBJ-ID-1088,8,Saline (IC),-17.4172,0.034591
SUBJ-ID-1088,9,Saline (IC),-18.0056,0.012422
SUBJ-ID-1088,10,Saline (IC),-19.8302,0.056886
SUBJ-ID-1089,1,Saline (IC),-10.4294,0.048193
SUBJ-ID-1089,2,Saline (IC),-10.1607,0.027778
SUBJ-ID-1089,3,Saline (IC),-11.9696,0.0065147
SUBJ-ID-1089,4,Saline (IC),-8.0004,0.0031949
SUBJ-ID-1089,5,Saline (IC),-7.43846,0
SUBJ-ID-1089,6,Saline (IC),-5.13596,0
SUBJ-ID-1089,7,Saline (IC),-3.92502,0.0033223
SUBJ-ID-1089,8,Saline (IC),-13.3921,0.013937
SUBJ-ID-1089,9,Saline (IC),-15.1108,0.0031153
SUBJ-ID-1089,10,Saline (IC),-12.3214,0.12033
SUBJ-ID-1137,1,Saline (IC),-13.6681,0.051429
SUBJ-ID-1137,2,Saline (IC),-12.2575,0.05802
SUBJ-ID-1137,3,Saline (IC),-12.3653,0.05136
SUBJ-ID-1137,4,Saline (IC),-13.2111,0.026866
